provider,id_trecho,repo,arquivo,tipo,nome,stars,loc,tempo_geracao_segundos,ok_geracao,bleu,meteor,rouge1_f,rouge2_f,rougeL_f,codebleu,qtd_erros_lint,qtd_warnings_lint,qtd_total_problemas_lint,conforme_jsdoc,regras_violadas
Gemini,dHJla2hsZWIvamF2YXNjcmlwdC1hbGdvcml0aG1zfHNyYy9hbGdvcml0aG1zL2NyeXB0b2dyYXBoeS9yYWlsLWZlbmNlLWNpcGhlci9yYWlsRmVuY2VDaXBoZXIuanN8Nzl8ZnVuY3Rpb258ZmlsbEVuY29kZUZlbmNl,trekhleb/javascript-algorithms,src/algorithms/cryptography/rail-fence-cipher/railFenceCipher.js,function,fillEncodeFence,195877,25,1.17,True,0.022893,0.18797,0.413793,0.070588,0.367816,,1,0,1,0,jsdoc/check-param-names:1
Gemini,dHJla2hsZWIvamF2YXNjcmlwdC1hbGdvcml0aG1zfHNyYy9hbGdvcml0aG1zL2NyeXB0b2dyYXBoeS9yYWlsLWZlbmNlLWNpcGhlci9yYWlsRmVuY2VDaXBoZXIuanN8MTY2fGZ1bmN0aW9ufGRlY29kZUZlbmNl,trekhleb/javascript-algorithms,src/algorithms/cryptography/rail-fence-cipher/railFenceCipher.js,function,decodeFence,195877,25,1.24,True,0.032814,0.478617,0.5,0.306122,0.44,,0,0,0,1,
Gemini,dmVyY2VsL25leHQuanN8LmdpdGh1Yi9hY3Rpb25zL25leHQtc3RhdHMtYWN0aW9uL3NyYy91dGlsL3N0YXRzLmpzfDEwfGZ1bmN0aW9ufGNhbGNTdGF0cw,vercel/next.js,.github/actions/next-stats-action/src/util/stats.js,function,calcStats,139181,22,1.07,True,0.236048,0.641742,0.764706,0.545455,0.764706,,0,0,0,1,
Gemini,dmVyY2VsL25leHQuanN8LmdpdGh1Yi9hY3Rpb25zL25leHQtcmVwby1hY3Rpb25zL3NyYy9wb3B1bGFyLWZlYXR1cmUtcmVxdWVzdHMubWpzfDMwfGZ1bmN0aW9ufGdlbmVyYXRlQmxvY2tz,vercel/next.js,.github/actions/next-repo-actions/src/popular-feature-requests.mjs,function,generateBlocks,139181,28,1.16,True,0.004549,0.133333,0.074074,0.0,0.074074,,0,0,0,1,
Gemini,Q2hhbGFyYW5nZWxvLzMwLXNlY29uZHMtb2YtY29kZXxzcmMvbGliL2NvbnRlbnRVdGlscy9tYXJrZG93blBhcnNlci9wbHVnaW5zL2FzdC9oaWdobGlnaHRDb2RlLmpzfDMxfGZ1bmN0aW9ufGNyZWF0ZU1ldGFkYXRhRXh0cmFjdG9y,Chalarangelo/30-seconds-of-code,src/lib/contentUtils/markdownParser/plugins/ast/highlightCode.js,function,createMetadataExtractor,127588,19,1.47,True,0.022687,0.309372,0.324607,0.137566,0.209424,,2,0,2,0,jsdoc/check-param-names:1; jsdoc/require-returns:1
Gemini,Q2hhbGFyYW5nZWxvLzMwLXNlY29uZHMtb2YtY29kZXxzcmMvbGliL2NvbnRlbnRVdGlscy9tYXJrZG93blBhcnNlci9wbHVnaW5zL2FzdC9oaWdobGlnaHRDb2RlLmpzfDU5fGZ1bmN0aW9ufGNyZWF0ZUF0dHJpYnV0ZXM,Chalarangelo/30-seconds-of-code,src/lib/contentUtils/markdownParser/plugins/ast/highlightCode.js,function,createAttributes,127588,18,1.38,True,0.081845,0.447613,0.390977,0.244275,0.345865,,1,0,1,0,jsdoc/require-returns:1
Gemini,bm9kZWpzL25vZGV8bGliL2ludGVybmFsL21vZHVsZXMvaGVscGVycy5qc3w0Mjh8ZnVuY3Rpb258YXNzZXJ0QnVmZmVyU291cmNl,nodejs/node,lib/internal/modules/helpers.js,function,assertBufferSource,116918,15,1.2,True,0.208619,0.465178,0.671429,0.434783,0.6,,0,0,0,1,
Gemini,bm9kZWpzL25vZGV8bGliL2ludGVybmFsL21vZHVsZXMvY2pzL2xvYWRlci5qc3wxNDkwfGZ1bmN0aW9ufGZpbmFsaXplRXNtUmVzb2x1dGlvbg,nodejs/node,lib/internal/modules/cjs/loader.js,function,finalizeEsmResolution,116918,13,1.22,True,0.291615,0.541258,0.716418,0.545455,0.641791,,0,0,0,1,
Gemini,bXJkb29iL3RocmVlLmpzfHNyYy9ub2Rlcy9jb3JlL1N1YkJ1aWxkTm9kZS5qc3wxMnxjbGFzc3xTdWJCdWlsZE5vZGU,mrdoob/three.js,src/nodes/core/SubBuildNode.js,class,SubBuildNode,112193,41,2.14,True,0.00145,0.07444,0.172414,0.071429,0.172414,,1,0,1,0,jsdoc/check-tag-names:1
Gemini,ZmFjZWJvb2svcmVhY3R8cGFja2FnZXMvZXNsaW50LXBsdWdpbi1yZWFjdC1ob29rcy9zcmMvY29kZS1wYXRoLWFuYWx5c2lzL2ZvcmstY29udGV4dC5qc3w2N3xmdW5jdGlvbnxtZXJnZUV4dHJhU2VnbWVudHM,facebook/react,packages/eslint-plugin-react-hooks/src/code-path-analysis/fork-context.js,function,mergeExtraSegments,244709,20,2.03,True,0.009109,0.22604,0.353846,0.046875,0.261538,,0,0,0,1,
