id,name,full_name,html_url,description,language,owner,license,stargazers_count,forks_count,open_issues_count,created_at,updated_at,pushed_at,default_branch,score,topics
10270250,react,facebook/react,https://github.com/facebook/react,The library for web and native user interfaces.,JavaScript,facebook,MIT,244427,50903,1222,2013-05-24T16:15:54Z,2026-04-12T20:07:44Z,2026-04-11T21:04:07Z,main,6.438903,"declarative,frontend,javascript,library,react,ui"
110058856,awesome-cheatsheets,LeCoupa/awesome-cheatsheets,https://github.com/LeCoupa/awesome-cheatsheets,"👩‍💻👨‍💻 Awesome cheatsheets for popular programming languages, frameworks and development tools. They include everything you should know in one single file.",JavaScript,LeCoupa,MIT,45648,6682,132,2017-11-09T02:47:15Z,2026-04-12T17:54:43Z,2026-04-12T17:26:10Z,master,5.869404,"backend,bash,cheatsheet,cheatsheets,database,django,docker,feathersjs,frontend,javascript,kubernetes,language,nodejs,php,programming-language,redis,sailsjs,vim,vuejs,xcode"
3214406,meteor,meteor/meteor,https://github.com/meteor/meteor,"Meteor, the JavaScript App Platform",JavaScript,meteor,NOASSERTION,44781,5267,370,2012-01-19T01:58:17Z,2026-04-12T07:59:18Z,2026-04-11T02:17:47Z,devel,5.848909,"build-system,framework,hacktoberfest,javascript,meteor,mongodb,nodejs,npm,react,reactive-programming,realtime,rpc,zero-configuration"
280567579,EasySpider,NaiboWang/EasySpider,https://github.com/NaiboWang/EasySpider,A visual no-code/code-free web crawler/spider易采集：一个可视化浏览器自动化测试/数据采集/爬虫软件，可以无代码图形化的设计和执行爬虫任务。别名：ServiceWrapper面向Web应用的智能化服务封装系统。,JavaScript,NaiboWang,AGPL-3.0,43770,5332,266,2020-07-18T02:41:27Z,2026-04-12T17:49:21Z,2026-04-12T13:42:34Z,master,5.843758,"batch-processing,batch-script,code-free,crawler,data-collection,frontend,gui,html,input-parameters,layman,parameters,robotics,rpa,scraper,spider,visual,visualization,visualprogramming,web,www"
1201476594,career-ops,santifer/career-ops,https://github.com/santifer/career-ops,"AI-powered job search system built on Claude Code. 14 skill modes, Go dashboard, PDF generation, batch processing.",JavaScript,santifer,MIT,31605,6183,49,2026-04-04T18:21:18Z,2026-04-12T20:10:58Z,2026-04-12T13:20:27Z,main,5.768552,"ai-agent,anthropic,automation,career,claude,claude-code,cli,golang,interview-prep,job-search,open-source,resume"
